,geoid,perim (b),w_perim (b),area (b),w_area (b),a/p^2 (b) 0.5,w_a/p^2 (b) 0.5,rank_a/p^2 (b) 0.5,rank_w_a/p^2 (b) 0.5,a/p^2 (b) 0.1,w_a/p^2 (b) 0.1,rank_a/p^2 (b) 0.1,rank_w_a/p^2 (b) 0.1
203,2611,812,63194,11350,705974,0.017214079448664127,0.00017678158167446246,373.0,391.0,0.017214079448664127,0.00017678158167446246,373.0,391.0
204,2607,881,29008,24676,705974,0.03179237297416387,0.0008389829467512471,270.0,230.0,0.03179237297416387,0.0008389829467512471,270.0,230.0
205,2602,714,34449,23879,705975,0.04684030474935072,0.0005948891978832577,183.0,264.0,0.04684030474935072,0.0005948891978832577,183.0,264.0
206,2610,526,23688,22312,705974,0.08064306264366985,0.0012581485405053492,94.0,175.0,0.08064306264366985,0.0012581485405053492,94.0,175.0
207,2608,670,41093,15444,705975,0.034404098908442864,0.0004180744487376677,247.0,305.0,0.034404098908442864,0.0004180744487376677,247.0,305.0
208,2613,850,41683,14940,705974,0.020678200692041522,0.00040632240479751276,358.0,308.0,0.020678200692041522,0.00040632240479751276,358.0,308.0
209,2605,674,27880,21371,705975,0.04704408773520943,0.0009082466051472904,182.0,217.0,0.04704408773520943,0.0009082466051472904,182.0,217.0
210,2601,734,6878,74447,705974,0.13818314784429314,0.014923282624152543,32.0,31.0,0.13818314784429314,0.014923282624152543,32.0,31.0
211,2614,972,53676,13450,705974,0.01423605818896171,0.00024503516727071936,392.0,365.0,0.01423605818896171,0.00024503516727071936,392.0,365.0
212,2703,458,28338,11776,662990,0.05613928033408974,0.0008255979121317558,148.0,234.0,0.05613928033408974,0.0008255979121317558,148.0,234.0
213,2706,858,25487,21083,662990,0.028638998918719197,0.0010206328444273812,297.0,197.0,0.028638998918719197,0.0010206328444273812,297.0,197.0
214,2705,353,21954,11521,662991,0.09245720614080845,0.0013755624539600465,73.0,165.0,0.09245720614080845,0.0013755624539600465,73.0,165.0
215,2702,443,9808,16290,662991,0.08300679239129881,0.006892023008151284,88.0,53.0,0.08300679239129881,0.006892023008151284,88.0,53.0
216,2704,290,15009,12413,662990,0.14759809750297265,0.002943089455363582,27.0,106.0,0.14759809750297265,0.002943089455363582,27.0,106.0
217,2708,842,12684,59996,662991,0.08462488927505486,0.004120929324319527,83.0,75.0,0.08462488927505486,0.004120929324319527,83.0,75.0
218,2701,942,7439,45479,662991,0.051251797458540124,0.011980598539673513,169.0,38.0,0.051251797458540124,0.011980598539673513,169.0,38.0
219,2707,1335,12407,81219,662991,0.04557168707654757,0.004306992033950939,191.0,72.0,0.04557168707654757,0.004306992033950939,191.0,72.0
220,2804,492,7551,36325,741776,0.15006361953863442,0.013009596808536368,26.0,35.0,0.15006361953863442,0.013009596808536368,26.0,35.0
